lon,lat,datetime
-79.52451931,27.53847467,2015-04-15
-79.62455356,27.41682429,2015-04-16
-79.71267542,27.46327825,2015-04-17
-79.80144788,27.72933088,2015-04-18
-80.06428163,28.07070872,2015-04-19
-79.1388729,29.82159174,2015-04-25
-77.26263482,30.10343707,2015-04-26
-76.42825246,30.18831707,2015-04-27
-76.45586989,30.16431381,2015-04-28
-76.25901777,30.31838518,2015-04-29
-75.96122326,30.40665339,2015-04-30
-76.22809436,29.78543936,2015-05-01
-76.37683968,29.43672867,2015-05-02
-76.6888727,29.4474927,2015-05-03
-76.89267073,29.58431771,2015-05-04
-77.25063945,29.8153908,2015-05-05
-77.6730957,29.79112544,2015-05-06
-78.07939785,29.6166796,2015-05-07
-78.4126732,29.33909131,2015-05-08
-78.62671503,29.0179921,2015-05-09
-79.02761842,29.29210176,2015-05-10
-79.38417445,29.72865562,2015-05-11
-79.60635874,30.28473222,2015-05-12
-79.49511577,30.40804496,2015-05-13
-79.47292959,30.60083551,2015-05-14
-78.35702836,30.49668151,2015-05-15
-78.08500046,30.51528373,2015-05-16
-78.13205972,30.27217294,2015-05-17
-77.98800212,30.24211556,2015-05-18
-77.74560021,30.57235346,2015-05-19
-77.49942458,30.75753147,2015-05-20
-76.94267251,30.61693481,2015-05-21
-77.10351933,30.75068845,2015-05-22
-77.59981244,30.92946334,2015-05-23
-77.81558699,30.42495169,2015-05-24
-78.16216146,29.93738973,2015-05-25
-78.6431123,29.67770093,2015-05-26
-79.10738209,29.56702127,2015-05-27
-79.43186849,29.55775721,2015-05-28
-79.53632994,29.58989813,2015-05-29
-79.47776862,29.62575735,2015-05-30
-79.32667114,29.66223592,2015-05-31
-79.2587568,29.59841346,2015-06-01
-79.3482846,29.68610535,2015-06-02
-79.43229482,29.90027645,2015-06-03
-79.3388739,30.05224621,2015-06-04
-78.96030338,30.10704701,2015-06-05
-78.63981867,30.65338692,2015-06-06
-78.54709571,30.97398176,2015-06-07
-78.14429652,31.11427811,2015-06-08
-78.2798669,31.13707294,2015-06-09
-78.3579608,31.156242,2015-06-10
-78.62180469,30.83721508,2015-06-11
-78.92391462,30.72477774,2015-06-12
-79.02217385,30.78338759,2015-06-13
-79.00946714,30.75764501,2015-06-14
-79.01036269,30.69224736,2015-06-15
-79.09298198,30.78288351,2015-06-16
-78.95982534,30.71127639,2015-06-17
-79.10057996,30.93470381,2015-06-18
-79.16970941,30.95521822,2015-06-19
-78.82356158,30.70189214,2015-06-20
-78.65012034,30.92096873,2015-06-21
-78.61357229,31.15931383,2015-06-22
-78.82574629,31.0717911,2015-06-23
-78.87688757,30.8969858,2015-06-24
-78.52192035,30.88226056,2015-06-25
-78.00529988,31.29893829,2015-06-26
-77.21393257,31.80345445,2015-06-27
-76.3369851,31.84077795,2015-06-28
-75.98180374,31.49881521,2015-06-29
-76.06470519,31.3279429,2015-06-30
-75.60258087,31.26738058,2015-07-01
-74.69159438,31.39671726,2015-07-02
-73.98331371,31.33889097,2015-07-03
-73.59395568,31.23167468,2015-07-04
-73.29638943,31.23787509,2015-07-05
-73.29841024,31.47438355,2015-07-06
-73.04951667,31.53920009,2015-07-07
-73.38202063,31.48986474,2015-07-08
-73.73411858,31.54359219,2015-07-09
-73.77892855,31.63145686,2015-07-10
-74.21633889,31.64257251,2015-07-11
-78.36968744,31.21926421,2015-09-10
-78.18499451,30.96583978,2015-09-11
-78.35856508,31.23166956,2015-09-12
-78.6838565,31.71413959,2015-09-13
-78.42085849,32.09454621,2015-09-14
-77.25127624,31.9238739,2015-09-15
-77.82457918,31.38960417,2015-09-16
-78.41607074,31.18966866,2015-09-17
-78.68865729,31.34255011,2015-09-18
-78.74917057,31.42840194,2015-09-19
